Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Dapsone,Antibacterial,Leprosy,Tablet,100 mg,Oral,dermatitis herpetiformis,Hemolytic anemia,Rifampin decreases levels trimethoprim increases levels Can cause hemolytic anemia and methemoglobinemia especially in G6PD deficiency.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Daptomycin,Lipopeptide Antibiotic,Complicated skin infections,Powder for Injection,500 mg,Intravenous,Myopathy,CPK elevation,HMG-CoA reductase inhibitors may increase risk of myopathy May cause myopathy and rhabdomyolysis monitor CPK levels.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Darunavir,Protease Inhibitor,HIV infection,Tablet,600 mg,Oral,Nausea,diarrhea,Strong CYP3A4 inducers (eg rifampin) are contraindicated as they significantly decrease levels May cause severe skin reactions and hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dasatinib,Kinase Inhibitor,Chronic myeloid leukemia (CML),Tablet,100 mg,Oral,Myelosuppression,fluid retention,Antacids and H2 blockers decrease absorption May cause severe myelosuppression and fluid retention.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Daunorubicin,Anthracycline Antibiotic,Leukemias,Powder for Injection,20 mg,Intravenous,Myelosuppression,cardiotoxicity,Other cardiotoxic drugs (eg trastuzumab) increase risk Can cause severe and irreversible cardiotoxicity and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Deferasirox,Iron Chelator,Iron overload,Tablet,500 mg,Oral,Nausea,vomiting,Avoid concurrent administration with aluminum-containing antacids Can cause renal impairment and hepatic failure monitor function regularly.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Deferoxamine,Iron Chelator,Iron overload,Powder for Injection,500 mg,Subcutaneous,Hypotension,ocular/auditory toxicity,Prochlorperazine may cause loss of consciousness Can cause ocular and auditory toxicity with prolonged use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Delavirdine,NNRTI,HIV infection,Tablet,100 mg,Oral,Rash,headache,Antacids and H2 blockers decrease absorption CYP3A4 inhibitors or inducers will affect levels Rash is a common side effect.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Denosumab,RANK Ligand Inhibitor,Osteoporosis,Solution,60 mg/mL,Subcutaneous,bone metastases,Hypocalcemia,No significant drug interactions Can cause severe hypocalcemia must correct pre-existing hypocalcemia prior to use.,Refrigerate Do Not Freeze Protect from light,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Desipramine,Tricyclic Antidepressant,Depression,Tablet,25 mg,Oral,Dry mouth,sedation,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Desloratadine,Antihistamine,Allergic rhinitis,Tablet,5 mg,Oral,urticaria,Headache,No significant drug interactions at recommended doses Rarely may cause somnolence.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Desmopressin,Vasopressin Analog,Diabetes insipidus,Tablet,0.1 mg,Oral,enuresis,Headache,Other drugs that may increase the risk of water intoxication and hyponatremia Can cause hyponatremia and water intoxication monitor sodium levels.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Desogestrel-Ethinyl Estradiol,Progestin + Estrogen,Contraception,Tablet,0.15/0.03 mg,Oral,Nausea,headache,CYP3A4 inducers (eg rifampin) can decrease efficacy and increase breakthrough bleeding Increases risk of thromboembolic disorders and stroke.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Desonide,Topical Corticosteroid,Inflammatory skin conditions,Ointment,0.05%,Topical,Skin atrophy,burning,No significant drug interactions Systemic absorption can occur with extensive use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Desoximetasone,Topical Corticosteroid,Inflammatory skin conditions,Cream,0.25%,Topical,Skin atrophy,burning,No significant drug interactions Systemic absorption can occur with extensive use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dexamethasone,Corticosteroid,Inflammatory conditions,Tablet,4 mg,Oral,immunosuppression,Hyperglycemia,CYP3A4 inducers (eg phenytoin) may decrease efficacy and inhibitors may increase effects Can cause hyperglycemia and adrenal suppression with prolonged use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Dexlansoprazole,Proton Pump Inhibitor,GERD,Capsule (DR),30 mg,Oral,erosive esophagitis,Diarrhea,Can reduce absorption of drugs requiring gastric pH for absorption (eg ketoconazole) May increase risk of Clostridium difficile-associated diarrhea and bone fractures with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dexmethylphenidate,CNS Stimulant,ADHD,Tablet,5 mg,Oral,Insomnia,decreased appetite,MAOIs are contraindicated due to risk of hypertensive crisis May exacerbate pre-existing psychosis and cause peripheral vasculopathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dextroamphetamine,CNS Stimulant,ADHD,Tablet,10 mg,Oral,narcolepsy,Insomnia,MAOIs can cause hypertensive crisis Alkalinizing agents increase urinary excretion and acidifying agents decrease it High potential for abuse and dependence.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Diazepam,Benzodiazepine,Anxiety disorders,Tablet,5 mg,Oral,alcohol withdrawal,muscle spasms,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Diclofenac,NSAID,Pain,Tablet,50 mg,Oral,inflammation,osteoarthritis,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Dicloxacillin,Penicillin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease excretion Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Dicyclomine,Anticholinergic,Irritable bowel syndrome,Capsule,20 mg,Oral,Dry mouth,dizziness,Other anticholinergic drugs can have additive effects Contraindicated in patients with glaucoma or severe ulcerative colitis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Didanosine,NRTI,HIV infection,Tablet,400 mg,Oral,Peripheral neuropathy,pancreatitis,Drugs that cause pancreatitis or peripheral neuropathy increase risk Can cause severe pancreatitis and peripheral neuropathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Digoxin,Cardiac Glycoside,Heart failure,Tablet,0.125 mg,Oral,atrial fibrillation,Nausea,Many drugs can increase levels (eg amiodarone verapamil) causing toxicity Can cause life-threatening arrhythmias due to its narrow therapeutic index.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dihydroergotamine,Ergot Alkaloid,Migraine attacks,Solution,1 mg/mL,Intravenous,Nausea,vomiting,Strong CYP3A4 inhibitors (eg clarithromycin) are contraindicated due to risk of ergotism Contraindicated in coronary artery disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Diltiazem,Non-Dihydropyridine CCB,Hypertension,Capsule (ER),120 mg,Oral,angina,Bradycardia,CYP3A4 inhibitors can increase levels and inducers can decrease levels Can cause bradycardia and heart failure.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dimethyl Fumarate,Fumaric Acid Ester,Multiple sclerosis,Capsule (DR),240 mg,Oral,Flushing,abdominal pain,No significant drug interactions Can cause flushing and GI events (nausea diarrhea abdominal pain) usually at treatment initiation.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Dinoprostone,Prostaglandin,Cervical ripening,Insert,10 mg,Vaginal,labor induction,Uterine hyperstimulation,Other oxytocic agents may have additive effects Can cause uterine hyperstimulation which may progress to uterine rupture.,Refrigerate,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Diphenhydramine,Antihistamine,Allergic reactions,Capsule,25 mg,Oral,insomnia,Sedation,CNS depressants may enhance sedative effects May cause marked drowsiness and impair mental and physical abilities.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Diphenoxylate-Atropine,Antidiarrheal,Diarrhea,Tablet,2.5/0.025 mg,Oral,Sedation,dizziness,CNS depressants may enhance sedative effects Can cause paralytic ileus and toxic megacolon in patients with infectious diarrhea.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dipyridamole,Antiplatelet,Post-cardiac valve replacement,Tablet,75 mg,Oral,Headache,dizziness,Theophylline may antagonize the antiplatelet effect Can cause angina pectoris and hypotension in patients with coronary artery disease.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Disopyramide,Antiarrhythmic (Class Ia),Ventricular arrhythmias,Capsule (CR),150 mg,Oral,Anticholinergic effects (dry mouth,urinary retention),Other drugs that prolong the QT interval increase risk of torsades de pointes Can cause heart failure and severe anticholinergic side effects.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Disulfiram,Aldehyde Dehydrogenase Inhibitor,Alcohol use disorder,Tablet,250 mg,Oral,Drowsiness,metallic taste,Metronidazole and alcohol-containing products can cause a disulfiram-like reaction Can cause hepatotoxicity and psychiatric disturbances.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Divalproex,Anticonvulsant,Seizures,Tablet (ER),500 mg,Oral,bipolar disorder,migraine prevention,CYP450 enzyme inducers may decrease levels Can cause severe hepatotoxicity and teratogenic effects including neural tube defects.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Neural tube defect risk),Prescription
Docetaxel,Antimicrotubule Agent,Breast cancer,Solution,20 mg/mL,Intravenous,other cancers,Myelosuppression,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause severe fluid retention and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Docusate,Stool Softener,Constipation,Capsule,100 mg,Oral,Abdominal cramping,diarrhea,Mineral oil may increase systemic absorption of the oil Can cause mild abdominal cramping.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Dofetilide,Antiarrhythmic (Class III),Atrial fibrillation/flutter,Capsule,125 mcg,Oral,Headache,dizziness,Many drugs are contraindicated including verapamil and cimetidine as they inhibit secretion and increase levels Can cause life-threatening ventricular arrhythmias particularly torsades de pointes.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Dolasetron,5-HT3 Antagonist,Chemotherapy-induced nausea/vomiting,Tablet,100 mg,Oral,Headache,diarrhea,Drugs that prolong the QT interval may have additive effects Can cause QT prolongation and subsequent arrhythmias.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Donepezil,Cholinesterase Inhibitor,Alzheimer's disease,Tablet,10 mg,Oral,Nausea,diarrhea,Other cholinergic agents can have additive effects Can cause nausea vomiting diarrhea and bradycardia.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Dopamine,Catecholamine,Shock,Solution,40 mg/mL,Intravenous,hypotension,Tachycardia,MAOIs can cause severe hypertension Extravasation can cause tissue necrosis and sloughing.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Doripenem,Carbapenem Antibiotic,Complicated infections,Powder for Injection,500 mg,Intravenous,Diarrhea,headache,Valproic acid levels may be significantly reduced Can cause seizures and hypersensitivity reactions.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dornase Alfa,Mucolytic,Cystic fibrosis,Solution for Nebulization,2.5 mg/2.5 mL,Inhalation,Voice alteration,pharyngitis,No significant drug interactions For inhalation use only must be used with a recommended nebulizer.,Refrigerate Do Not Shake,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Doxazosin,Alpha-1 Blocker,Hypertension,Tablet,2 mg,Oral,BPH,Dizziness,Other antihypertensive drugs can have additive effects Can cause marked first-dose hypotension and syncope.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Doxepin,Tricyclic Antidepressant,Depression,Capsule,10 mg,Oral,insomnia,Pruritus,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Doxercalciferol,Vitamin D Analog,Hypoparathyroidism,Capsule,0.5 mcg,Oral,Hypercalcemia,headache,Cholestyramine may impair absorption Can cause hypercalcemia and hyperphosphatemia monitor serum levels.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Hypercalcemia risk),Prescription
Doxorubicin,Anthracycline Antibiotic,Various cancers,Solution,2 mg/mL,Intravenous,Myelosuppression,cardiotoxicity,Other cardiotoxic drugs (eg trastuzumab) increase risk Can cause severe and irreversible cardiotoxicity and myelosuppression.,Refrigerate Protect from light,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Doxycycline,Tetracycline Antibiotic,Bacterial infections,Tablet,100 mg,Oral,Photosensitivity,nausea,Antacids and calcium supplements decrease absorption Can cause photosensitivity and esophageal irritation.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Tooth discoloration risk),Prescription
Dronabinol,Cannabinoid,Chemotherapy-induced nausea/vomiting,Capsule,2.5 mg,Oral,appetite stimulation,Drowsiness,CNS depressants including alcohol can cause additive sedation Can cause profound psychological effects.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Droperidol,Antipsychotic,Nausea/vomiting,Solution,2.5 mg/mL,Intramuscular,sedation,QT prolongation,Other QT-prolonging agents increase risk of torsades de pointes Can cause QT prolongation and severe hypotension.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Drospirenone-Ethinyl Estradiol,Progestin + Estrogen,Contraception,Tablet,3/0.02 mg,Oral,Nausea,headache,ACE inhibitors and ARBs may increase risk of hyperkalemia Increases risk of thromboembolic disorders and hyperkalemia in high-risk patients.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Duloxetine,SNRI,Depression,Capsule,30 mg,Oral,anxiety,diabetic neuropathy,MAOIs can cause serotonin syndrome Can cause hepatotoxicity and increase suicidal thoughts and behaviors.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Dutasteride,5-alpha Reductase Inhibitor,BPH,Capsule,0.5 mg,Oral,Decreased libido,erectile dysfunction,Strong CYP3A4 inhibitors may increase levels Pregnant women should not handle crushed capsules due to risk of fetal abnormality.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Echinacea,Herbal Supplement,Immune support,Tablet,400 mg,Oral,cold symptoms,GI upset,May interact with drugs metabolized by CYP450 enzymes Not recommended for use in autoimmune diseases or with immunosuppressants.,Room Temperature,Animal studies have demonstrated safety,Insufficient data,No prescription required
Econazole,Antifungal,Fungal skin infections,Cream,1%,Topical,Skin irritation,burning,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Eculizumab,Monoclonal Antibody,Paroxysmal nocturnal hemoglobinuria (PNH),Solution,300 mg/30 mL,Intravenous,aHUS,Headache,Vaccination with live vaccines is not recommended Increases risk of serious meningococcal infections vaccination required at least 2 weeks prior.,Refrigerate Do Not Freeze Protect from light,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Efavirenz,NNRTI,HIV infection,Tablet,600 mg,Oral,Rash,dizziness,Induces CYP3A4 and inhibits CYP2C9/CYP2C19 affecting many drugs Can cause severe psychiatric symptoms and rash.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Eletriptan,5-HT1 Agonist,Migraine attacks,Tablet,40 mg,Oral,Chest pain,dizziness,Strong CYP3A4 inhibitors (eg ketoconazole) are contraindicated due to increased risk of coronary vasospasm Contraindicated in ischemic heart disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Emedastine,Antihistamine,Allergic conjunctivitis,Solution,0.05%,Ophthalmic,Headache,burning sensation,No significant drug interactions For ophthalmic use only may cause mild transient stinging or burning.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Empagliflozin,SGLT2 Inhibitor,Type 2 diabetes,Tablet,25 mg,Oral,heart failure,Genital mycotic infections,Diuretics may enhance the potential for volume depletion Can cause genital mycotic infections and volume depletion.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Not recommended in 2nd/3rd trim),Prescription
Enalapril,ACE Inhibitor,Hypertension,Tablet,10 mg,Oral,heart failure,Cough,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Risk of angioedema can occur at any time discontinue immediately.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor risk),Prescription
Enalapril-Hydrochlorothiazide,ACE Inhibitor + Thiazide Diuretic,Hypertension,Tablet,10/25 mg,Oral,Cough,dizziness,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased May exacerbate glucose intolerance and hyperlipidemia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor/Thiazide risk),Prescription
Enfuvirtide,Fusion Inhibitor,HIV infection,Powder for Injection,90 mg,Subcutaneous,Injection site reactions,insomnia,No significant drug interactions Almost all patients experience injection site reactions.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Enoxaparin,Low Molecular Weight Heparin,VTE prophylaxis and treatment,Solution,40 mg/0.4 mL,Subcutaneous,bleeding,anemia,Other drugs that affect hemostasis increase bleeding risk Can cause spinal or epidural hematoma leading to paralysis with neuraxial anesthesia.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Entacapone,COMT Inhibitor,Parkinson's disease,Tablet,200 mg,Oral,Diarrhea,urine discoloration,Nonselective MAOIs are contraindicated Can cause diarrhea and urine discoloration.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Entecavir,Nucleoside Reverse Transcriptase Inhibitor,Hepatitis B,Tablet,0.5 mg,Oral,Headache,fatigue,Drugs that reduce renal function may increase levels Severe acute exacerbations of hepatitis B have been reported upon discontinuation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Enzalutamide,Androgen Receptor Inhibitor,Prostate cancer,Capsule,40 mg,Oral,Hot flashes,fatigue,Strong CYP2C8 inhibitors may increase levels and inducers may decrease levels Can cause seizures and posterior reversible encephalopathy syndrome (PRES).,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Epinastine,Antihistamine,Allergic conjunctivitis,Solution,0.05%,Ophthalmic,Headache,burning sensation,No significant drug interactions For ophthalmic use only may cause mild transient burning or stinging.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Epinephrine,Alpha/Beta Agonist,Anaphylaxis,Solution,1 mg/mL,Intramuscular,cardiac arrest,Tachycardia,Beta-blockers may antagonize cardiac effects and cause severe hypertension Can cause angina and arrhythmias in patients with heart disease.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Epirubicin,Anthracycline Antibiotic,Breast cancer,Solution,2 mg/mL,Intravenous,other cancers,Myelosuppression,Other cardiotoxic drugs (eg trastuzumab) increase risk Can cause severe and irreversible cardiotoxicity and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Eplerenone,Aldosterone Antagonist,Heart failure,Tablet,25 mg,Oral,hypertension,Hyperkalemia,Strong CYP3A4 inhibitors (eg ketoconazole) are contraindicated Can cause hyperkalemia particularly in patients with renal impairment.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Epoetin Alfa,Erythropoiesis-Stimulating Agent,Anemia of chronic kidney disease,Solution,4000 units/mL,Subcutaneous,Hypertension,headache,No significant drug interactions Increases risk of serious cardiovascular events thromboembolic events and mortality when dosed to a target Hb over 11 g/dL.,Refrigerate Do Not Shake,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Eprosartan,ARB,Hypertension,Tablet,600 mg,Oral,Dizziness,upper respiratory infection,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Eptifibatide,Glycoprotein IIb/IIIa Inhibitor,Acute coronary syndrome,Solution,2 mg/mL,Intravenous,Bleeding,hypotension,Other drugs that affect hemostasis increase bleeding risk Can cause serious bleeding and thrombocytopenia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ergocalciferol,Vitamin D,Vitamin D deficiency,000 unit,50,Capsule,Hypercalcemia,Hypercalcemia,Cholestyramine and mineral oil may reduce absorption Excessive intake can lead to hypercalcemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Hypercalcemia risk),Oral
Ergoloid Mesylates,Ergot Alkaloid,Dementia (cognitive decline),Tablet,1 mg,Oral,Nausea,headache,No significant drug interactions Not for use in the treatment of psychosis or acute mental disorders.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ergotamine,Ergot Alkaloid,Migraine attacks,Tablet,1 mg,Sublingual,Nausea,vomiting,Strong CYP3A4 inhibitors (eg clarithromycin) are contraindicated due to risk of ergotism Contraindicated in coronary artery disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Ertapenem,Carbapenem Antibiotic,Bacterial infections,Powder for Injection,1 g,Intramuscular,Diarrhea,infusion site reactions,Valproic acid levels may be significantly reduced Can cause seizures and hypersensitivity reactions.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Erythromycin,Macrolide Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Nausea,vomiting,Inhibits CYP3A4 increasing levels of many drugs (eg statins carbamazepine) May cause QT prolongation and subsequent arrhythmias.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Escitalopram,SSRI,Depression,Tablet,10 mg,Oral,anxiety disorders,Nausea,MAOIs can cause serotonin syndrome and other SSRIs may have additive effects May increase risk of bleeding especially with NSAIDs or warfarin.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Esmolol,Beta-Blocker,Tachycardia,Solution,10 mg/mL,Intravenous,supraventricular tachycardia,Hypotension,Other drugs that lower heart rate or blood pressure can have additive effects Can cause profound hypotension and bradycardia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Esomeprazole,Proton Pump Inhibitor,GERD,Capsule (DR),40 mg,Oral,erosive esophagitis,Headache,Can reduce absorption of drugs requiring gastric pH for absorption (eg ketoconazole) May increase risk of Clostridium difficile-associated diarrhea and bone fractures with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Estazolam,Benzodiazepine,Insomnia,Tablet,1 mg,Oral,Sedation,dizziness,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Estradiol,Estrogen,Hormone replacement,Tablet,1 mg,Oral,osteoporosis prevention,Breast tenderness,Inducers of CYP450 enzymes (eg carbamazepine) may decrease estrogen levels Increases risk of thromboembolic disorders and endometrial cancer.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Eszopiclone,Non-Benzodiazepine Hypnotic,Insomnia,Tablet,2 mg,Oral,Unpleasant taste,headache,CNS depressants including alcohol increase sedation risk May cause complex sleep behaviors like sleep-driving.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ethambutol,Antimycobacterial,Tuberculosis,Tablet,400 mg,Oral,Optic neuritis,hyperuricemia,Aluminum hydroxide may decrease absorption Can cause optic neuritis leading to decreased visual acuity and color blindness.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Ethosuximide,Anticonvulsant,Absence seizures,Capsule,250 mg,Oral,Drowsiness,dizziness,CNS depressants may enhance sedative effects Can cause blood dyscrasias including aplastic anemia and SLE.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Etodolac,NSAID,Osteoarthritis,Tablet,400 mg,Oral,pain,GI upset,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Etonogestrel,Progestin,Contraception (implant),Implant,68 mg,Subdermal,Headache,weight gain,Hepatic enzyme inducers may decrease efficacy and increase breakthrough bleeding Must be removed if a patient becomes pregnant.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Implant),Prescription
Etoposide,Topoisomerase Inhibitor,Various cancers,Capsule,50 mg,Oral,Myelosuppression,nausea,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and secondary leukemias.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Everolimus,mTOR Inhibitor,Organ transplant rejection,Tablet,5 mg,Oral,certain cancers,Stomatitis,Strong CYP3A4 or P-gp inhibitors may increase levels and inducers may decrease levels Can cause non-infectious pneumonitis and immunosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Exemestane,Aromatase Inhibitor,Breast cancer,Tablet,25 mg,Oral,Hot flashes,fatigue,Estrogen-containing medications should not be used Decreases bone mineral density increasing fracture risk.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Exenatide,GLP-1 Receptor Agonist,Type 2 diabetes,Solution,10 mcg/0.4 mL,Subcutaneous,Nausea,hypoglycemia,Drugs that are rapidly absorbed may be delayed (eg antibiotics) Can cause nausea and increased risk of thyroid C-cell tumors in rodents.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ezetimibe,Cholesterol Absorption Inhibitor,Hyperlipidemia,Tablet,10 mg,Oral,Diarrhea,arthralgia,Cholestyramine decreases ezetimibe levels Fibrates may increase the risk of cholelithiasis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Famciclovir,Antiviral,Herpes zoster,Tablet,500 mg,Oral,herpes simplex,Headache,Probenecid may decrease renal excretion of penciclovir Dosage adjustment is required in renal impairment.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Famotidine,H2 Blocker,Peptic ulcer disease,Tablet,20 mg,Oral,GERD,Headache,No significant drug interactions May cause confusion more commonly in elderly or severely ill patients.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Felbamate,Anticonvulsant,Seizures,Tablet,400 mg,Oral,Anorexia,insomnia,Increases levels of phenytoin and valproic acid and decreases levels of carbamazepine Can cause aplastic anemia and hepatic failure.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
