unii,name,classes,usage,side_effects,contraindications
F5,Enalapril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, hypotension, dizziness",Can cause angioedema and hyperkalemia.
G5,Encorafenib,"Kinase inhibitor",Treatment of BRAF-mutated melanoma (in combination with binimetinib),"Fatigue, nausea, rash",Risk of new skin cancers and QT prolongation.
H5,Enzalutamide,"Androgen receptor inhibitor",Treatment of metastatic castration-resistant prostate cancer,"Fatigue, hot flashes, hypertension",Risk of seizures.
I5,Enzymatic debriding agents,N/A,Topical treatment for the debridement of chronic dermal ulcers and burns,"Pain, bleeding, dermatitis",N/A
J5,Epinephrine,"Adrenergic agonist",Treatment of anaphylaxis, asthma, and cardiac arrest,"Tachycardia, hypertension, anxiety",Available in various formulations for different uses (e.g., auto-injector for anaphylaxis).
K5,Epirubicin,"Anthracycline chemotherapy",Treatment of breast cancer,"Cardiotoxicity, myelosuppression, nausea",Similar to doxorubicin.
L5,Eplerenone,"Aldosterone antagonist",Treatment of hypertension and heart failure post-myocardial infarction,"Hyperkalemia, dizziness",More selective than spironolactone with fewer hormonal side effects.
M5,Epoetin alfa,"Erythropoiesis-stimulating agent (ESA)",Treatment of anemia due to chronic kidney disease or chemotherapy,"Hypertension, increased risk of thrombosis",Target hemoglobin should not exceed 11 g/dL.
N5,Eribulin,"Microtubule inhibitor",Treatment of metastatic breast cancer and liposarcoma,"Neutropenia, peripheral neuropathy, fatigue",Monitor blood counts and for neuropathy.
O5,Erlotinib,"Kinase inhibitor (EGFR inhibitor)",Treatment of non-small cell lung cancer and pancreatic cancer,"Rash, diarrhea, fatigue",Effectiveness is higher in patients with EGFR mutations.
P5,Erythromycin,"Macrolide antibiotic",Treatment of various bacterial infections,"GI upset (nausea, cramping), QT prolongation",Potent inhibitor of CYP3A4, leading to many drug interactions.
Q5,Escitalopram,"SSRI antidepressant",Treatment of depression and generalized anxiety disorder,"Nausea, insomnia, drowsiness",Considered the S-enantiomer of citalopram.
R5,Eslicarbazepine,"Anticonvulsant",Adjunctive treatment of partial-onset seizures,"Dizziness, somnolence, diplopia",Prodrug of licarbazepine.
S5,Esomeprazole,"Proton pump inhibitor (PPI)",Treatment of GERD, ulcers, and Zollinger-Ellison syndrome,"Headache, diarrhea, abdominal pain",Similar to omeprazole.
T5,Estazolam,"Benzodiazepine",Short-term management of insomnia,"Drowsiness, dizziness, ataxia",Potential for dependence.
U5,Estradiol,"Estrogen",Hormone replacement therapy, treatment of symptoms of menopause,"Nausea, headache, breast tenderness",Increased risk of cardiovascular events and certain cancers.
V5,Eszopiclone,"Nonbenzodiazepine hypnotic",Treatment of insomnia,"Unpleasant taste, drowsiness, dizziness",Potential for complex sleep-related behaviors.
W5,Etanercept,"TNF blocker",Treatment of rheumatoid arthritis, psoriasis, and other inflammatory diseases,"Injection site reactions, increased risk of infections",Do not use in patients with active infections or sepsis.
X5,Ethambutol,"Antimycobacterial",Treatment of tuberculosis (part of a multi-drug regimen),"Optic neuritis (visual changes), rash",Requires baseline and regular vision monitoring.
Y5,Ethinyl estradiol,"Synthetic estrogen",Component of most combination oral contraceptives,"Nausea, breast tenderness, risk of VTE",Dose and progestin component vary widely among products.
Z5,Ethosuximide,"Anticonvulsant",Treatment of absence seizures,"Nausea, drowsiness, hiccups",Can cause blood dyscrasias.
A6,Etodolac,"NSAID",Relief of pain and inflammation,"GI upset, increased risk of cardiovascular events",N/A
B6,Etonogestrel,"Progestin",Used in hormonal contraceptives (e.g., implants, vaginal rings),"Irregular bleeding, headache, weight gain",N/A
C6,Etoposide,"Topoisomerase II inhibitor",Treatment of various cancers, including lung and testicular cancer,"Myelosuppression, alopecia, nausea",Administer slowly to avoid hypotension.
D6,Everolimus,"mTOR inhibitor",Treatment of various cancers and prevention of organ transplant rejection,"Stomatitis, rash, increased risk of infections",Requires therapeutic drug monitoring for transplant use.
E6,Exemestane,"Aromatase inhibitor",Treatment of hormone receptor-positive breast cancer in postmenopausal women,"Hot flashes, fatigue, arthralgia",Irreversible steroidal inhibitor.
F6,Ezetimibe,"Cholesterol absorption inhibitor",Lowers high cholesterol levels (often used with a statin),"Upper respiratory tract infection, diarrhea, arthralgia",N/A
G6,Famotidine,"H2 receptor antagonist",Treatment and prevention of heartburn and ulcers,"Headache, dizziness, constipation",Fewer drug interactions than cimetidine.
H6,Febuxostat,"Xanthine oxidase inhibitor",Treatment of gout,"Liver function abnormalities, nausea, rash",Higher risk of cardiovascular death compared to allopurinol in one study.
I6,Felodipine,"Calcium channel blocker",Treatment of hypertension,"Peripheral edema, headache, flushing",Grapefruit juice can increase levels.
J6,Fenofibrate,"Fibrate",Lowers triglycerides and LDL cholesterol,"Abnormal liver function tests, myopathy (risk increases with statins)",Monitor liver enzymes.
K6,Fentanyl,"Opioid analgesic",Management of severe pain,"Respiratory depression, sedation, constipation",Extremely potent; high potential for abuse and overdose.
L6,Fidaxomicin,"Macrolide antibiotic",Treatment of Clostridioides difficile-associated diarrhea (CDAD),"Nausea, abdominal pain",Minimal systemic absorption.
M6,Filgrastim,"Granulocyte colony-stimulating factor (G-CSF)",Prevention of neutropenia in patients receiving chemotherapy,"Bone pain",N/A
N6,Finasteride,"5-alpha-reductase inhibitor",Treatment of BPH and male pattern baldness,"Impotence, decreased libido",Pregnant women should not handle crushed or broken tablets.
O6,Fingolimod,"Sphingosine 1-phosphate receptor modulator",Treatment of multiple sclerosis,"Bradycardia (first-dose), increased risk of infections, macular edema",Requires first-dose observation.
P6,Flecainide,"Antiarrhythmic",Prevention of various arrhythmias,"Dizziness, visual disturbances, proarrhythmic effects",Contraindicated in structural heart disease.
Q6,Fluconazole,"Antifungal",Treatment of various fungal infections, especially Candida,"Headache, nausea, rash",Can inhibit metabolism of other drugs.
R6,Fludarabine,"Purine analog",Treatment of chronic lymphocytic leukemia (CLL),"Myelosuppression, neurotoxicity, increased risk of infections",N/A
S6,Fludrocortisone,"Mineralocorticoid",Replacement therapy for adrenal insufficiency (Addison's disease),"Hypertension, edema, hypokalemia",Requires monitoring of blood pressure and electrolytes.
T6,Flunisolide,"Corticosteroid",Maintenance treatment of asthma (inhaled) or allergic rhinitis (nasal),"Oral candidiasis, hoarseness (inhaled); nasal irritation (nasal)",N/A
U6,Fluocinolone,"Corticosteroid",Topical treatment of skin conditions,"Burning, itching, skin atrophy",Available in various potencies and formulations.
V6,Fluocinonide,"Corticosteroid",Topical treatment of skin conditions,"Burning, itching, skin atrophy",Potent corticosteroid.
W6,Fluorometholone,"Corticosteroid",Ophthalmic treatment of inflammatory eye conditions,"Increased intraocular pressure, cataracts",Requires monitoring of eye pressure with long-term use.
X6,Fluorouracil (5-FU),"Antimetabolite",Treatment of various cancers (systemic); treatment of actinic keratosis (topical),"Myelosuppression, mucositis, diarrhea (systemic); application site reactions (topical)",N/A
Y6,Fluoxetine,"SSRI antidepressant",Treatment of depression, OCD, panic disorder, and bulimia,"Nausea, insomnia, headache",Long half-life.
Z6,Fluphenazine,"Typical antipsychotic",Management of schizophrenia,"Extrapyramidal symptoms, sedation, tardive dyskinesia",Available as long-acting injection.
A7,Flurazepam,"Benzodiazepine",Treatment of insomnia,"Drowsiness, dizziness, long half-life leads to next-day sedation",N/A
B7,Flurbiprofen,"NSAID",Relief of pain and inflammation,"GI upset, increased risk of cardiovascular events",Available as ophthalmic solution for inhibition of intraoperative miosis.
C7,Flutamide,"Androgen receptor inhibitor",Treatment of prostate cancer,"Hot flashes, gynecomastia, diarrhea",Risk of hepatotoxicity.
D7,Fluticasone,"Corticosteroid",Treatment of asthma (inhaled) and allergic rhinitis (nasal),"Oral candidiasis, hoarseness (inhaled); nasal irritation (nasal)",Available in combination with salmeterol or vilanterol.
E7,Fluvastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Headache, dyspepsia",Generally less potent than other statins.
F7,Fluvoxamine,"SSRI antidepressant",Treatment of obsessive-compulsive disorder (OCD) and social anxiety disorder,"Nausea, drowsiness, weakness",Potent inhibitor of CYP1A2 and CYP2C19.
G7,Folic acid,"Vitamin",Treatment and prevention of folic acid deficiency, prevention of neural tube defects,"N/A (generally well-tolerated)",N/A
H7,Fondaparinux,"Factor Xa inhibitor",Prevention and treatment of venous thromboembolism,"Bleeding",Administered subcutaneously.
I7,Formoterol,"Long-acting beta-2 agonist (LABA)",Treatment of asthma and COPD (always with an inhaled corticosteroid in asthma),"Tremor, tachycardia, palpitations",Increased risk of asthma-related death when used as monotherapy in asthma.
J7,Fosamprenavir,"Protease inhibitor",Treatment of HIV infection (used with ritonavir),"Rash, nausea, diarrhea",Prodrug of amprenavir.
K7,Fosaprepitant,"Neurokinin-1 receptor antagonist",Prevention of chemotherapy-induced nausea and vomiting,"Infusion site reactions, fatigue, hiccups",IV prodrug of aprepitant.
L7,Foscarnet,"Antiviral",Treatment of CMV retinitis and acyclovir-resistant herpes infections,"Nephrotoxicity, electrolyte abnormalities",Requires close monitoring of renal function and electrolytes.
M7,Fosinopril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, dizziness",Dual routes of elimination (hepatic and renal).
N7,Furosemide,"Loop diuretic",Treatment of edema and hypertension,"Hypokalemia, dehydration, ototoxicity",Potent diuretic.
O7,Gabapentin,"Anticonvulsant/Neuropathic pain agent",Treatment of seizures and neuropathic pain,"Drowsiness, dizziness, ataxia",Also used for restless legs syndrome.
P7,Galantamine,"Cholinesterase inhibitor",Treatment of Alzheimer's disease,"Nausea, vomiting, diarrhea",N/A
Q7,Ganciclovir,"Antiviral",Treatment and prevention of cytomegalovirus (CMV) infection,"Myelosuppression (neutropenia, thrombocytopenia)","Carcinogenic, teratogenic, and causes aspermatogenesis in animals"
R7,Gemcitabine,"Antimetabolite",Treatment of various cancers, including pancreatic, lung, and breast,"Myelosuppression, nausea, flu-like symptoms",N/A
S7,Gemfibrozil,"Fibrate",Lowers triglycerides,"Dyspepsia, myopathy (risk increases with statins)",Inhibits metabolism of statins, increasing risk of myopathy.
T7,Gentamicin,"Aminoglycoside antibiotic",Treatment of serious bacterial infections,"Nephrotoxicity, ototoxicity",Monitor renal function and drug levels.
U7,Glatiramer,"Immunomodulator",Treatment of multiple sclerosis,"Injection site reactions, flushing, chest pain",N/A
V7,Glecaprevir/pibrentasvir,"Direct-acting antiviral combination",Treatment of chronic hepatitis C virus (HCV) infection,"Headache, fatigue",Effective against all major HCV genotypes.
W7,Glimepiride,"Sulfonylurea",Improves glycemic control in type 2 diabetes,"Hypoglycemia, dizziness, weight gain",Risk of hypoglycemia is a major concern.
X7,Glipizide,"Sulfonylurea",Improves glycemic control in type 2 diabetes,"Hypoglycemia, nausea, weight gain",Take 30 minutes before a meal.
Y7,Glyburide,"Sulfonylurea",Improves glycemic control in type 2 diabetes,"Hypoglycemia, weight gain",Higher risk of hypoglycemia than other sulfonylureas.
Z7,Golimumab,"TNF blocker",Treatment of rheumatoid arthritis, psoriatic arthritis, and ulcerative colitis,"Increased risk of infections, injection site reactions",Administered subcutaneously or intravenously.
A8,Goserelin,"GnRH agonist",Treatment of prostate cancer and breast cancer,"Hot flashes, decreased libido",Administered as a subcutaneous implant.
B8,Granisetron,"5-HT3 receptor antagonist",Prevention of nausea and vomiting,"Headache, constipation",Available as oral, IV, and transdermal patch.
C8,Griseofulvin,"Antifungal",Treatment of fungal infections of the skin, hair, and nails,"Headache, nausea, photosensitivity",Take with a fatty meal to increase absorption.
D8,Guaifenesin,"Expectorant",Helps loosen phlegm and thin bronchial secretions,"Dizziness, headache, nausea",Often found in combination cold and cough products.
E8,Guanfacine,"Alpha-2A adrenergic agonist",Treatment of ADHD and hypertension,"Drowsiness, dizziness, dry mouth",Do not discontinue abruptly.
F8,Haloperidol,"Typical antipsychotic",Treatment of schizophrenia and Tourette's syndrome,"Extrapyramidal symptoms, QT prolongation, tardive dyskinesia",High potency antipsychotic.
G8,Hydralazine,"Vasodilator",Treatment of hypertension,"Headache, tachycardia, lupus-like syndrome",Can cause reflex tachycardia.
H8,Hydrochlorothiazide (HCTZ),"Thiazide diuretic",Treatment of hypertension and edema,"Hypokalemia, dizziness, photosensitivity",Commonly used in combination with other antihypertensives.
I8,Hydrocodone,"Opioid analgesic",Relief of moderate to severe pain,"Drowsiness, constipation, respiratory depression",Almost always found in combination with acetaminophen or ibuprofen.
J8,Hydrocortisone,"Corticosteroid",Treatment of inflammation and adrenal insufficiency,"Many side effects with systemic use; skin atrophy with topical use",Available in many formulations (oral, topical, IV).
K8,Hydromorphone,"Opioid analgesic",Management of severe pain,"Respiratory depression, sedation, constipation",More potent than morphine.
L8,Hydroxychloroquine,"Antimalarial and antirheumatic",Treatment of malaria, lupus, and rheumatoid arthritis,"Retinopathy (requires eye exams), nausea, headache",N/A
M8,Hydroxyurea,"Antineoplastic/Antisickling agent",Treatment of certain cancers and sickle cell disease,"Myelosuppression, nausea",Increases fetal hemoglobin in sickle cell disease.
N8,Hydroxyzine,"Antihistamine",Treatment of anxiety, pruritus, and as a sedative,"Drowsiness, dry mouth",Potent antihistamine with sedative properties.
O8,Ibandronate,"Bisphosphonate",Treatment and prevention of postmenopausal osteoporosis,"Dyspepsia, back pain, flu-like symptoms",Can be taken once monthly (oral) or every 3 months (IV).
P8,Ibrutinib,"Kinase inhibitor (BTK inhibitor)",Treatment of various B-cell cancers like CLL and mantle cell lymphoma,"Bleeding, atrial fibrillation, diarrhea",Monitor for bleeding and cardiac arrhythmias.
Q8,Ibuprofen,"NSAID",Relief of pain, fever, and inflammation,"GI upset, increased risk of cardiovascular events and GI bleeding",Available over-the-counter and by prescription.
R8,Icatibant,"Bradykinin B2 receptor antagonist",Treatment of acute attacks of hereditary angioedema (HAE),"Injection site reactions",Administered by subcutaneous injection.
S8,Idarucizumab,"Monoclonal antibody fragment",Specific reversal agent for dabigatran,"No common side effects reported; risk of thrombosis",N/A
T8,Idelalisib,"PI3K inhibitor",Treatment of certain B-cell cancers,"Severe diarrhea/colitis, hepatotoxicity, pneumonitis",Boxed warnings for toxicities.
U8,Ifosfamide,"Alkylating agent",Treatment of various cancers, particularly testicular cancer,"Hemorrhagic cystitis, neurotoxicity, myelosuppression",Co-administer with mesna to prevent bladder toxicity.
V8,Imatinib,"Kinase inhibitor (BCR-ABL inhibitor)",Treatment of chronic myeloid leukemia (CML) and GIST,"Fluid retention, muscle cramps, nausea",Take with food and a large glass of water.
W8,Imipramine,"Tricyclic antidepressant",Treatment of depression,"Drowsiness, dry mouth, constipation",N/A
X8,Imiquimod,"Immune response modifier",Topical treatment of genital warts, actinic keratosis, and superficial basal cell carcinoma,"Application site reactions (redness, itching, swelling)",N/A
Y8,Indacaterol,"Long-acting beta-2 agonist (LABA)",Long-term maintenance treatment of COPD,"Nasopharyngitis, cough, headache",Inhaled once daily.
Z8,Indomethacin,"NSAID",Relief of pain and inflammation,"Headache, dizziness, GI upset",One of the more potent NSAIDs.
A9,Infliximab,"TNF blocker",Treatment of various inflammatory diseases like rheumatoid arthritis and Crohn's disease,"Infusion reactions, increased risk of infections",Administered by intravenous infusion.
B9,Ingenol mebutate,"Inducer of cell death",Topical treatment of actinic keratosis,"Application site reactions (erythema, flaking, crusting)","Severe eye injury and allergic reactions have occurred. Do not apply near eyes or mouth."
C9,Insulin,"Hormone",Treatment of diabetes mellitus,"Hypoglycemia, weight gain",Many types exist with different onsets and durations of action (e.g., Lispro, Glargine, NPH).
D9,Interferon alfa,"Cytokine",Treatment of hepatitis, some cancers, and genital warts,"Flu-like symptoms, depression, myelosuppression",Many subtypes and formulations.
E9,Ipilimumab,"CTLA-4-blocking antibody",Treatment of melanoma,"Immune-mediated adverse reactions (colitis, hepatitis, dermatitis)",Can cause severe and fatal immune-mediated reactions.
F9,Irbesartan,"Angiotensin II receptor blocker (ARB)",Treatment of hypertension and diabetic nephropathy,"Dizziness, hyperkalemia",Avoid in pregnancy.
G9,Irinotecan,"Topoisomerase I inhibitor",Treatment of colorectal cancer,"Severe diarrhea, neutropenia",Genetic testing for UGT1A1 can predict risk of toxicity.
H9,Iron Dextran,Iron replacement,Parenteral treatment of iron-deficiency anemia,"Anaphylaxis (boxed warning), hypotension, injection site reactions",Requires a test dose before the first full therapeutic dose.
I9,Isavuconazonium,"Azole antifungal",Treatment of invasive aspergillosis and mucormycosis,"Nausea, vomiting, hepatotoxicity",Prodrug of isavuconazole.
J9,Isocarboxazid,"MAO inhibitor (non-selective)",Treatment of depression,"Orthostatic hypotension, dizziness, hypertensive crisis with tyramine-rich foods",Many food and drug interactions.
K9,Isoniazid,"Antimycobacterial",Treatment and prevention of tuberculosis,"Hepatotoxicity, peripheral neuropathy",Administer with pyridoxine (B6) to reduce neuropathy risk.
L9,Isoproterenol,"Non-selective beta-adrenergic agonist",Treatment of bradycardia and heart block,"Tachycardia, palpitations, arrhythmias",N/A
M9,Isotretinoin,"Retinoid",Treatment of severe nodular acne,"Severe birth defects (boxed warning), dry skin, chapped lips, depression","Pregnancy, requires enrollment in a special restricted distribution program (iPLEDGE)"
N9,Isradipine,"Calcium channel blocker",Treatment of hypertension,"Headache, edema, flushing",N/A
O9,Itraconazole,"Azole antifungal",Treatment of various fungal infections,"Nausea, hepatotoxicity, can worsen heart failure",Potent inhibitor of CYP3A4, many drug interactions.
P9,Ivabradine,"If channel inhibitor",Reduces the risk of hospitalization for worsening heart failure,"Bradycardia, visual brightness (phosphenes), hypertension",N/A
Q9,Ivacaftor,"CFTR potentiator",Treatment of cystic fibrosis in patients with specific CFTR mutations,"Headache, upper respiratory infection, abdominal pain",Take with fat-containing food.
R9,Ivermectin,"Antiparasitic",Treatment of various parasitic infections, such as onchocerciasis and strongyloidiasis,"Dizziness, nausea, pruritus",N/A
S9,Ixazomib,"Proteasome inhibitor",Treatment of multiple myeloma (in combination with lenalidomide and dexamethasone),"Thrombocytopenia, peripheral neuropathy, diarrhea",Oral proteasome inhibitor.
T9,Ketamine,"NMDA receptor antagonist",Anesthetic and analgesic; treatment-resistant depression,"Dissociative reactions, hypertension, increased heart rate",Potential for abuse.
U9,Ketoconazole,"Azole antifungal",Topical treatment of fungal infections; systemic use is limited due to toxicity,"Hepatotoxicity (boxed warning), nausea",Potent CYP3A4 inhibitor. Systemic use only when other effective antifungal therapy is not available or tolerated.
V9,Ketorolac,"NSAID",Short-term management of moderately severe acute pain,"GI bleeding, renal toxicity",Use is limited to 5 days total for all routes combined.
W9,Labetalol,"Beta-blocker with alpha-blocking activity",Treatment of hypertension,"Dizziness, fatigue, nausea",Can be used IV for hypertensive emergencies.
X9,Lacosamide,"Anticonvulsant",Adjunctive treatment of partial-onset seizures,"Dizziness, headache, diplopia",May prolong the PR interval.
Y9,Lamivudine (3TC),"Nucleoside reverse transcriptase inhibitor (NRTI)",Treatment of HIV and chronic hepatitis B,"Headache, nausea, fatigue",Activity against both HIV and HBV.
Z9,Lamotrigine,"Anticonvulsant",Treatment of epilepsy and bipolar disorder,"Serious rash (Stevens-Johnson syndrome) (boxed warning), dizziness, headache",Requires slow dose titration to reduce rash risk.
AA,Lansoprazole,"Proton pump inhibitor (PPI)",Treatment of GERD and ulcers,"Diarrhea, headache",N/A
BB,Lapatinib,"Kinase inhibitor (EGFR and HER2 inhibitor)",Treatment of HER2-positive breast cancer,"Diarrhea, rash, hepatotoxicity",Take at least one hour before or one hour after a meal.
CC,Ledipasvir/sofosbuvir,"Direct-acting antiviral combination",Treatment of chronic hepatitis C,"Fatigue, headache",Single tablet regimen.
DD,Lenalidomide,"Immunomodulatory agent",Treatment of multiple myeloma and myelodysplastic syndromes,"Thromboembolism, myelosuppression, severe birth defects (boxed warning)",Requires enrollment in a restricted distribution program (REMS).
EE,Lenvatinib,"Kinase inhibitor",Treatment of thyroid cancer, renal cell carcinoma, and hepatocellular carcinoma,"Hypertension, fatigue, diarrhea",N/A
FF,Letrozole,"Aromatase inhibitor",Treatment of hormone receptor-positive breast cancer in postmenopausal women,"Hot flashes, arthralgia, fatigue",N/A
GG,Leucovorin,Folinic acid,Rescue therapy after high-dose methotrexate; potentiates fluorouracil,"Allergic reactions",N/A
HH,Leuprolide,"GnRH agonist",Treatment of prostate cancer, endometriosis, and uterine fibroids,"Hot flashes, decreased libido",Administered as a depot injection.
II,Levetiracetam,"Anticonvulsant",Treatment of various seizure types,"Somnolence, dizziness, behavioral changes",Generally well-tolerated with few drug interactions.
JJ,Levobupivacaine,"Local anesthetic",Surgical anesthesia and pain management,"Hypotension, nausea, numbness",Less cardiotoxic than bupivacaine.
KK,Levocetirizine,"Antihistamine",Relief of allergy symptoms,"Somnolence, fatigue",The R-enantiomer of cetirizine.
LL,Levofloxacin,"Fluoroquinolone antibiotic",Treatment of various bacterial infections,"Nausea, photosensitivity, tendinitis risk (boxed warning)",Risk of aortic dissection or rupture.
MM,Levomilnacipran,"SNRI antidepressant",Treatment of major depressive disorder,"Nausea, headache, constipation",Active enantiomer of milnacipran.
NN,Levonorgestrel,"Progestin",Used in hormonal contraceptives and as emergency contraception,"Irregular bleeding, nausea, headache",N/A
OO,Levothyroxine (T4),"Thyroid hormone",Treatment of hypothyroidism,"Hyperthyroidism symptoms if dose is too high (e.g., tachycardia, weight loss)",Take on an empty stomach.
PP,Lidocaine,"Local anesthetic and antiarrhythmic",Local anesthesia and treatment of ventricular arrhythmias,"Drowsiness, dizziness, paresthesias (with systemic use)",N/A
QQ,Linaclotide,"Guanylate cyclase-C agonist",Treatment of IBS with constipation (IBS-C) and chronic idiopathic constipation (CIC),"Diarrhea",Contraindicated in pediatric patients < 6 years old.
RR,Linagliptin,"DPP-4 inhibitor",Improves glycemic control in type 2 diabetes,"Nasopharyngitis",Primarily excreted unchanged in feces.
SS,Linezolid,"Oxazolidinone antibiotic",Treatment of serious gram-positive infections, including MRSA and VRE,"Myelosuppression, peripheral and optic neuropathy, serotonin syndrome",Weak MAO inhibitor; has food and drug interactions.
TT,Liothyronine (T3),"Thyroid hormone",Treatment of hypothyroidism,"Hyperthyroidism symptoms if dose is too high",More potent and shorter half-life than levothyroxine.
UU,Liraglutide,"GLP-1 receptor agonist",Treatment of type 2 diabetes and chronic weight management,"Nausea, risk of thyroid C-cell tumors (boxed warning)",Administered once daily by subcutaneous injection.
VV,Lisdexamfetamine,"Stimulant prodrug",Treatment of ADHD and binge eating disorder,"Decreased appetite, insomnia, dry mouth",Prodrug of dextroamphetamine.
WW,Lisinopril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, dizziness, hyperkalemia",N/A
XX,Lithium,"Mood stabilizer",Treatment of bipolar disorder,"Tremor, polyuria, hypothyroidism",Narrow therapeutic index; requires blood level monitoring.
YY,Loperamide,"Opioid-receptor agonist (peripheral)",Treatment of diarrhea,"Constipation, dizziness",Does not cross the blood-brain barrier at normal doses.
ZZ,Lopinavir/ritonavir,"Protease inhibitor combination",Treatment of HIV infection,"Diarrhea, nausea, hyperlipidemia",Ritonavir is used as a pharmacokinetic booster.
A11,Lorazepam,"Benzodiazepine",Management of anxiety, insomnia, and seizures,"Drowsiness, sedation, dependence",N/A
B11,Losartan,"Angiotensin II receptor blocker (ARB)",Treatment of hypertension and diabetic nephropathy,"Dizziness, hyperkalemia",Avoid in pregnancy.
C11,Loteprednol,"Corticosteroid",Ophthalmic treatment of inflammatory eye conditions,"Increased intraocular pressure",N/A
D11,Lovastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Myopathy, elevated liver enzymes",Take with the evening meal.
E11,Loxapine,"Typical antipsychotic",Treatment of schizophrenia,"Sedation, extrapyramidal symptoms",Inhaled formulation available for acute agitation.
F11,Lubiprostone,"Chloride channel activator",Treatment of chronic constipation and IBS-C,"Nausea, diarrhea, headache",Take with food and water.
G11,Luliconazole,"Azole antifungal",Topical treatment of athlete's foot, jock itch, and ringworm,"Application site reactions",N/A
H11,Lurasidone,"Atypical antipsychotic",Treatment of schizophrenia and bipolar depression,"Somnolence, akathisia, nausea",Take with food (at least 350 calories).
I11,Macitentan,"Endothelin receptor antagonist",Treatment of pulmonary arterial hypertension,"Anemia, nasopharyngitis, headache","Pregnancy (boxed warning)"
J11,Maraviroc,"CCR5 antagonist",Treatment of CCR5-tropic HIV-1 infection,"Cough, fever, hepatotoxicity (boxed warning)",Requires a tropism test before initiation.
K11,Meclizine,"Antihistamine",Treatment of motion sickness and vertigo,"Drowsiness, dry mouth",N/A
L11,Medroxyprogesterone,"Progestin",Hormone therapy, contraception,"Irregular bleeding, weight gain, bone mineral density loss (with long-term depot use)",N/A
M11,Mefloquine,"Antimalarial",Prevention and treatment of malaria,"Neuropsychiatric effects (vivid dreams, anxiety, paranoia) (boxed warning), dizziness",N/A
N11,Megestrol,"Progestin/Appetite stimulant",Palliative treatment of breast/endometrial cancer; treatment of anorexia/cachexia in AIDS,"Weight gain, thromboembolic events",N/A
O11,Meloxicam,"NSAID",Relief of pain and inflammation, particularly for arthritis,"GI upset, increased risk of cardiovascular events",Preferentially inhibits COX-2 over COX-1, but not as selective as celecoxib.
P11,Melphalan,"Alkylating agent",Treatment of multiple myeloma and ovarian cancer,"Myelosuppression, mucositis",N/A
Q11,Memantine,"NMDA receptor antagonist",Treatment of moderate to severe Alzheimer's disease,"Dizziness, headache, confusion",N/A
R11,Mepivacaine,"Local anesthetic",Infiltration and nerve block anesthesia,"N/A",N/A
S11,Mercaptopurine (6-MP),"Purine antimetabolite",Treatment of acute lymphoblastic leukemia (ALL),"Myelosuppression, hepatotoxicity",Genetic testing for TPMT can predict risk of toxicity.
T11,Meropenem,"Carbapenem antibiotic",Treatment of serious multidrug-resistant bacterial infections,"Diarrhea, rash, nausea",Broad-spectrum antibiotic.
U11,Mesalamine (5-ASA),"Aminosalicylate",Treatment of ulcerative colitis,"Headache, abdominal pain, rash",Available in many oral and rectal formulations.
V11,Metformin,"Biguanide",First-line treatment for type 2 diabetes,"GI side effects (diarrhea, nausea), lactic acidosis (rare)",Does not cause hypoglycemia.
W11,Methadone,"Opioid agonist",Treatment of opioid dependence and severe pain,"QT prolongation, respiratory depression, sedation",Long and variable half-life.
X11,Methamphetamine,"Stimulant",Treatment of ADHD and obesity (rarely used),"Insomnia, tachycardia, hypertension",Extremely high potential for abuse.
Y11,Methimazole,"Thionamide",Treatment of hyperthyroidism,"Rash, agranulocytosis (rare), hepatotoxicity",N/A
Z11,Methocarbamol,"Muscle relaxant",Relief of musculoskeletal pain and spasms,"Drowsiness, dizziness",N/A
AA1,Methotrexate,"Antimetabolite/Antirheumatic",Treatment of cancers, psoriasis, and rheumatoid arthritis,"Myelosuppression, hepatotoxicity, pulmonary toxicity",Dosing frequency varies by indication (e.g., weekly for RA, daily for cancer).
BB1,Methylcellulose,Bulk-forming laxative,Treatment of constipation,"Bloating, flatulence",Take with plenty of water.
CC1,Methyldopa,"Alpha-2 adrenergic agonist (central)",Treatment of hypertension, particularly in pregnancy,"Drowsiness, orthostatic hypotension, positive Coombs' test",N/A
DD1,Methylergonovine,"Ergot alkaloid",Prevention and treatment of postpartum hemorrhage,"Hypertension, headache, seizures",N/A
EE1,Methylphenidate,"Stimulant",Treatment of ADHD and narcolepsy,"Insomnia, decreased appetite, nervousness",Potential for abuse and dependence.
FF1,Methylprednisolone,"Corticosteroid",Treatment of inflammatory and autoimmune conditions,"Many side effects with systemic use",N/A
GG1,Metoclopramide,"Dopamine antagonist",Treatment of gastroparesis and prevention of nausea/vomiting,"Drowsiness, extrapyramidal symptoms, tardive dyskinesia (boxed warning)",N/A
HH1,Metoprolol,"Beta-blocker (cardioselective)",Treatment of hypertension, angina, and heart failure,"Fatigue, dizziness, bradycardia",Available as tartrate (immediate-release) and succinate (extended-release).
